title,short_description,page
Driven,"From Homeless to Hero, My Journeys On and Off Lambeau Field",288
Bob Skilton,Legend of the Australian Football Hall Of Fame,25
Arrogance and Scheming In the Big Ten,Michigan State's Quest for Membership and Michigan's Powerful Opposition,374
Duck Season,,72
Bobby Johnstone,The Passing of an Age,222
Classic Clashes of the Carolina-Clemson Football Rivalry,A State of Disunion,208
Classic Browns,The 50 Greatest Games in Cleveland Browns History,224
Arrowhead Home of the Chiefs,,144
DuckNews 2014 Football Yearbook,,112
Classic Steelers,The 50 Greatest Games in Pittsburgh Steelers History,200
Art Briles,Looking Up: My Journey from Tragedy to Triumph,320
Duerson,"Triumph, Trauma and Tragedy in the NFL",50
Bobby Moore to Thierry Henry,A Girl's Own Story,200
Classico Barcelone - Real,,132
My Losing Season,,432
Closing the Gap,"Lombardi, the Packers Dynasty, and the Pursuit of Excellence",416
Asia and the Future of Football,The Role of the Asian Football Confederation,208
Dutch Clark,The Life of an NFL Legend and the Birth of the Detroit Lions,422
Book of Football Stuff,,192
Clouds over the Goalpost,"Gambling, Assassination, and the NFL in 1963",352
Chop Talk - FSU Vs NC State,,17
Bowden,,304
Coach Quotes for Football,,102
Athletic Scholarships:  (Step By Step Blueprint of How to Get a College Athletic Scholarship),,105
Bowled Over,Big-Time College Football from the Sixties to the BCS Era,352
Coaching a Pro-Style Ground Attack,,131
Sweetwater,A Biography of Nathaniel ??Sweetwater?? Clifton,100
My Life,,400
Attacking Coverages With the Passing Game,,240
"Bowls, Polls, and Tattered Souls",Tackling the Chaos and Controversy That Reign Over College Football,268
Coaching a Wing-T Based Multiple Offense,,141
Attacking the 3-3-5 Defense with the I Offense,,198
Bowties & Bowl Games 2014 SEC Football Preview,,491
Coaching an Aggressive Eight-Man Front Defense,,122
Chop Talk - FSU Vs Miami,,14
Birth of the New NFL,How the 1966 NFL/AFL Merger Transformed Pro Football,256
Auburn: The Dream Season,,24
Boys Will Be Boys,,416
Coaching Confidential,Inside the Fraternity of NFL Coaches,272
Auburn: The Dream Season (Read-Along Edition),The iPad Experience,25
Brady vs Manning,The Untold Story of the Rivalry That Transformed the NFL,272
Coaching Critical Situation Offense,,152
True Blue,A Tribute to Mike Krzyzewski's Career at Duke,272
Susijengi,Pohjolan perukoilta Euroopan huipulle,160
Aurora's East-West Football Rivalry,The Longest-Running Series in Illinois,224
Brand NFL,Making and Selling America's Favorite Sport,344
Coaching Cultures,,176
Aussie Rules For Dummies,,300
Breaking the Color Barrier,"The Story of the First African American NFL Head Coach, Frederick Douglass ""Fritz"" Pollard",0
Coaching Defensive Line Play,,168
Motivating Illustrations of Faith in Basketball,,188
Chop Talk - FSU Vs Maryland,,14
Australia's Game,"Stories, Essays, Verse & Drama Inspired by the Australian Game of Football",368
Breaking the Line,The Season in Black College Football That Transformed the Sport and Changed the Course of Civil Rights,336
Coaching Defensive Linemen (2nd Edition),,144
Awaken The Baller Within,"If You Want to Win, Start Within",97
"Survival Guide for Coaching Youth Basketball, 2E",,200
Motion Offense: The Principles of the Five-Man Open Post,,92
Chop Talk - FSU Vs Duke,,14
Billion-Dollar Ball,A Journey Through the Big-Money Culture of College Football,288
Coaching Football,From Youth Leagues to the Pros,304
Tracy McGrady Signature Workout Program,,30
Survival Guide for Coaching Youth Basketball,,184
Breakthrough 'Boys,The Story of the 1971 Super Bowl Champion Dallas Cowboys,304
Coaching Football Technical and Tactical Skills,,376
Motion Game Offenses for Men's and Women's Basketball (3rd Edition),,129
Chop Talk - FSU Vs Boston College,,14
Sum It Up,"A Thousand and Ninety-Eight Victories, a Couple of Irrelevant Losses, and a Life in Perspective",416
Brett Favre,A Packer Fan's Tribute Third Edition: The Final Season,192
Coaching Football's 3-3-5 Defense,,132
Motion 32 Offense,,5
Brian Barwick,Anfield Days and Wembley Ways,256
Coaching Football's 4-3 Defense ,(2nd Edition),132
Chop Talk,FSU vs. Pittsburgh,14
Torimaki,,24
Success at The Next Level,Simi Valley High School Girls Basketball,37
Brian Clough - Sunderland Legend,,20
Coaching Football's 46 Defense,,195
Loose Balls,"Easy Money, Hard Fouls, Cheap Laughs, and True Love in the NBA",304
Bright Red,The Liverpool/Manchester United Matches,329
Coaching Football's Double Eagle Flex Defense,,55
Mormon Yankees,Giants On and Off the Court,288
Chicago Bears: The Drive to 2012,An In-Depth Guide to Off-season Moves and Pre-season News,250
Stolen Glory,"The U.S., the Soviet Union, and the Olympic Basketball Game That Never Ended",200
Bringing the Heat,,512
Coaching Football's Modern-T Offense,,272
Longshot,,272
Bristol Rovers,,710
Coaching Football's Slot Attack,,120
More University of Kansas Basketball Legends,,144
Chicago Bears,The Complete Illustrated History,192
Pro Basketball's All-Time All-Stars,Across the Eras,506
Browns Glory,"For the Love of Ozzie, the Toe, and Otto",256
Coaching Football's Special Situations,,156
Big Play,,320
Browns Scrapbook,"A Fond Look Back at Five Decades of Football, from a Legendary Cleveland Sportswriter",204
Coaching Football's Special Teams,,174
Tony Parker Signature Workout Program,,35
Stockton to Malone,The Rise of the Utah Jazz,94
Living A Dream With Coach Gate,,199
Buckeye Madness,Great Eras in Ohio State Football,272
Coaching Football's Zone Offense (Third Edition),,178
More Than a Game,,320
Buckeye Rebirth,"Urban Meyer, an Inspired Team, and a New Era At Ohio State",272
Coaching Football??More Than X??s and O??s: By the Experts (Third Edition),,238
Linsanity: The Improbable Rise of Jeremy Lin,,50
More Five-Star Basketball Drills,,256
Chelsea,20 Defining Matches,100
Buckeye Wisdom,Insight & Inspiration from Coach Earle Bruce,128
Coaching Football??s Double Eagle-Double Flex Defense,,176
Playing with the Big Boys,"Basketball, American Imperialism, and Subaltern Discourse in the Philippines",288
Buckeyeology Trivia Challenge,Ohio State Buckeyes Football,96
Coaching Football??s Multiple Formations Offense (Third Edition),,195
To Hate Like This Is to Be Happy Forever,,384
Steve Nash,The Unlikely Ascent of a Superstar,224
Lingendary: Jeremy Lin's Ascent to Cultural Icon,,50
Buffalo Bills,The Complete Illustrated History,192
Coaching Football??s Spread Zone Option,,101
Monta Ellis Signature Workout Program,,30
Buffalo Bills IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,48
Coaching Linebackers: By the Experts (Second Edition),,255
Cheating Is Encouraged,A Hard-Nosed History of the 1970s Raiders,352
Playing Like a Girl,Transforming Our Lives Through Team Sports,218
Building a Championship Football Team,,157
Coaching Nickel and Dime Defenses,,174
Light Blue Reign,"How a City Slicker, a Quiet Kansan, and a Mountain Man Built College Basketball's Longest-Lasting Dynasty",250
Stephon Marbury Signature Workout Program,,30
Building a Man-to-Man Defense,,94
Coaching Offensive Backs (3rd Edition),,202
"Mommy, What??s a Seattle Supersonic?",The Tragic Tale of Seattle's Most Beloved Sports Franchise,0
Chasing Perfection,The Principles Behind Winning Football the De La Salle Way,240
Playing for Keeps,Michael Jordan and the World He Made,432
Building Championship-Caliber Football Programs,Inside the Locker Rooms and Minds of State Champion Head Football Coaches,225
Coaching Offensive Linemen (2nd Edition),,247
Excel 2010 for Fantasy Football,,17
Bulldog Madness,Great Eras in Georgia Football,256
Coaching Pattern - Read Coverage,,120
Thursday Night Therapy,Thirty Years of Basketball and Camaraderie,136
Stephen Curry HoopHandbook Signature Workout Program,,20
"Bum Phillips: Coach, Cowboy, Christian","Coach, Cowboy, Christian",210
Coaching Quarterback Passing Mechanics,Enhanced iBooks Edition,101
Work130,130 Separate Basketball Workouts. Everything is Covered.,150
Life on the Run,,288
Burn Budgie Byrne,Football Inferno,272
Coaching Quarterback Passing Mechanics (2nd Edition),,80
MLB Baseball Betting Tips ~ 2011,,8
Chasing Greatness,Words of Wisdom from Rugby League Icons,176
Burnley FC Miscellany,Everything you ever needed to know about The Clarets,128
Coaching Quarterbacks: By the Experts (3rd edition),,235
Playing Basketball: An Arm Chair Guide Full of 100 Tips to Getting Better at Basketball,,25
Excel 2007 for Fantasy Football,,16
Bury Me in My Jersey,"A Memoir of My Father, Football, and Philly",240
Coaching Special Teams: By the Experts (Third Edition),,251
Starting Five,,17
Words from the Wise,Fall 2010,110
Bury Me With My Whistle,,228
Coaching the 3-3/3-5 Defense: By the Experts,,297
Life Is Not an Accident,A Memoir of Reinvention,0
Mind Games,Phil Jackson's Long Strange Journey,712
But They Can't Beat Us!: Oscar Robertson and the Crispus Attucks Tigers,,999
Coaching the 3-4 Defense: By the Experts,,247
Charlton Athletic,A History,176
Play Their Hearts Out,"A Coach, His Star Recruit, and the Youth Basketball Machine",448
Butch,The First Year of the Butch Jones Era at the University of Tennessee,123
Coaching the 3-5-3 Defense,,234
Every Week a Season,A Journey Inside Big-Time College Football,320
Won't Back Down,"Teams, Dreams, and Family",256
Coaching the 4-3 Defense: By the Experts (Third Edition),,266
Mike Krzyzewski,Encouragement,32
Charlie Tully,Celtics Cheeky Chappie,223
Coaching the Air Raid Offense,,119
Let's Talk Defense!,,224
Play & Learn Basketball,,112
Every Day Is Game Day,"The Proven System of Elite Performance to Win All Day, Every Day",320
"Women, Sport, Society","Further Reflections, Reaffirming Mary Wollstonecraft",224
Coaching the Defensive Line: By the Experts ,(3rd Edition),242
Let Me Tell You a Story,A Lifetime in the Game,368
Mike Conley Signature Workout Program,,30
Charging Through the AFL,Los Angeles and San Diego Chargers' Football in the 1960s,216
Coaching the Defensive Secondary: By the Experts (Third Edition),,247
"Phil Jackson - Un coach, Onze titres NBA",Les secrets du succ??s,352
Every Army Man Is with You,"The Cadets Who Won the 1964 Army-Navy Game, Fought in Vietnam, and Came Home Forever Changed",258
Best of Rivals,"Joe Montana, Steve Young, and the Inside Story behind the NFL's Greatest Quarterback Controversy",336
Coaching the Empty Backfield Offense (2nd Edition),,147
Thanks for Listening!,,268
Rockin' Steady,A Guide to Basketball & Cool,144
"Coaching the Five-Wide Attack: The ""Tyger"" Offense",,108
Special Situations: Making the Most of Limited Possessions,,105
"Winning With Purpose, Raising Our Game and Lifting Our Teammates, On and Off the Court",,224
"Lenny, Lefty, and the Chancellor",The Len Bias Tragedy and the Search for Reform in Big-time College Basketball,342
Coaching the Five-Wide Empty Offense,,96
Chappy,Believe it or not,0
Phil Jackson,Lord of the Rings,368
Coaching the Frontliners: The Complete Guide to Coaching the Offensive Line,,136
Rise of a Dynasty,"The '57 Celtics, the First Banner, and the Dawning of a NewAmerica",304
SOS Pressure Defense,Sequential Ongoing Strategies,196
Winning Spirit Basketball,Find Your Greatness Within,184
Legends of N.C. State Basketball,"Dick Dickey, Tommy Burleson, David Thompson, Jim Valvano, and Other Wolfpack Stars",192
Coaching the Gap-Control Rover Defense (Second Edition),,2008
Mike Batiste - The Story of a Champion,,478
Pete Newell's Defensive Basketball: Winning Techniques and Strategies,,160
Coaching the I-Bone Option Attack Offense,,130
Everton Fc 1890-91,The First Kings of Andfield,175
Team Psychology in Sports,Theory and Practice,184
Rise and Fire,"The Origins, Science, and Evolution of the Jump Shot---and How It Transformed Basketball Forever",0
Coaching the Kicking Game,,120
Solely Focused Magazine,,23
Winning Basketball Fundamentals: Enhanced Edition,,280
Coaching the Multiple 4-3 Defense (2nd Edition),,307
Midwest Elite Basketball,,23
Champion of the Barrio,The Legacy of Coach Buryl Baty,288
Pete Maravich,Magician of the Hardwood,224
Legal Streetball HoopHandbook Signature Workout Program,,20
Coaching the Multiple West Coast Offense (2nd Edition),,261
Everton,The School of Science,452
Winning Basketball Fundamentals,,280
LeBron's Dream Team,How Five Friends Made History,272
Coaching the No-Huddle Offense (Second Edition),,185
"No Blood, No Foul",A Novel,288
Celebrities' Favourite Football Teams,,121
Personal Foul,A First-Person Account of the Scandal that Rocked the NBA,272
Coaching the No-Huddle Offense: By the Experts,,217
Europamestrene,,145
Coaching the Offensive Line: By the Experts (Third Edition),,279
Before You Go Pro,,287
Sistemas de juego - Baloncesto,,106
Kobe Bryant HoopHandbook Signature Workout Program,,20
Win Like Lin: Finding Your Inner Linsanity on the Way to Breakout Success,,112
LeBron James HoopHandbook Signature Workout Program,,20
Coaching the Option Wing Offense,,318
Michael Jordan HoopHandbook Signature Workout Program,,20
Netball,Skills. Techniques. Tactics,112
Coaching the Option: By the Experts,,235
Own The Zone,Executing and Attacking Zone Defenses,224
Casuals,"Football, Fighting and Fashion, The Story of a Terrace Cult",302
Perfectly Awful,The Philadelphia 76ers' Horrendous and Hilarious 1972-1973 Season,176
Showtime,"Magic, Kareem, Riley, and the Los Angeles Lakers Dynasty ofthe 1980s",496
Coaching the Passing Game: By the Experts (Second Edition),,246
"Wilt, 1962",The Night of 100 Points and the Dawn of a New Era,288
Coaching the Pistol Spread Option Offense,,188
